id_mun;f10;f11;f198;f199;f200;f13;f14;f318;f320;f321;f167;f27;f28;f29;f171;f69;f72;f73;f378;f379;f377;f291;f225;f284;f227;f286;f308;f250;f119;f122;mun
080692;29360.0;8030.0;2457.0;124312.2;836.6;0.0;14.0;2359.0;2185.0;4544.0;795.0;3116.0;550.0;83.0;4544.0;3699.0;543.0;302.0;1163.0;971.0;2134.0;418.0;434.0;0.0;0.0;434.0;196.8;1469.0;593.0;2195.0;Collbató
430458;16064.0;3262.0;145.0;33455.2;133.8;0.0;0.0;93.0;75.0;168.0;18.0;106.0;35.0;9.0;168.0;147.0;6.0;15.0;45.0;23.0;68.0;17.0;6.0;0.0;0.0;6.0;12.2;70.0;36.0;116.0;Colldejou
080706;23170.0;6303.0;361.0;45473.7;341.1;0.0;0.0;183.0;176.0;359.0;69.0;220.0;66.0;4.0;359.0;328.0;18.0;13.0;93.0;73.0;166.0;49.0;45.0;0.0;0.0;45.0;12.2;123.0;44.0;180.0;Collsuspina
170558;25287.0;7313.0;218.0;84183.5;463.0;0.0;0.0;84.0;90.0;174.0;18.0;107.0;38.0;11.0;174.0;146.0;10.0;18.0;41.0;35.0;76.0;23.0;32.0;0.0;0.0;32.0;6.2;88.0;32.0;124.0;Colomers
251636;16921.0;4302.0;1538.0;27981.8;167.9;0.0;3.0;151.0;104.0;255.0;23.0;179.0;44.0;9.0;255.0;229.0;15.0;11.0;83.0;54.0;137.0;22.0;33.0;0.0;0.0;33.0;12.9;117.0;559.0;727.0;Coma i la Pedra, la
251615;16932.0;4822.0;789.0;15574.1;93.4;0.0;2.0;209.0;201.0;410.0;50.0;226.0;102.0;32.0;410.0;356.0;25.0;29.0;82.0;73.0;155.0;50.0;28.0;0.0;0.0;28.0;14.0;191.0;252.0;456.0;Conca de Dalt
430461;15802.0;5238.0;257.0;15350.2;61.4;0.0;0.0;50.0;50.0;100.0;8.0;63.0;25.0;4.0;100.0;92.0;4.0;4.0;22.0;16.0;38.0;6.0;12.0;0.0;0.0;12.0;3.3;62.0;103.0;180.0;Conesa
430477;18732.0;4202.0;926.0;339305.6;2211.6;0.0;1.0;3445.0;3220.0;6665.0;1256.0;4436.0;850.0;123.0;6665.0;4012.0;1240.0;1413.0;1368.0;948.0;2316.0;276.0;2908.0;1630.0;471.0;5009.0;671.9;2502.0;;2673.0;Constantí
080713;21894.0;5795.0;265.0;44950.9;485.5;0.0;0.0;157.0;164.0;321.0;59.0;188.0;62.0;12.0;321.0;284.0;28.0;9.0;73.0;68.0;141.0;26.0;31.0;0.0;0.0;31.0;10.6;124.0;40.0;169.0;Copons
430483;15373.0;3904.0;749.0;32460.6;194.8;0.0;0.0;529.0;474.0;1003.0;106.0;623.0;211.0;63.0;1003.0;838.0;30.0;135.0;215.0;165.0;380.0;145.0;74.0;0.0;0.0;74.0;38.3;414.0;45.0;579.0;Corbera d'Ebre
080728;27224.0;7601.0;9260.0;71142.3;667.7;0.0;9.0;7454.0;7428.0;14882.0;2411.0;10300.0;1796.0;375.0;14882.0;10724.0;2067.0;2091.0;3611.0;3185.0;6796.0;1362.0;1009.0;299.0;0.0;1308.0;655.2;5067.0;1215.0;6722.0;Corbera de Llobregat
