codSubasta;lote;Valor de tasación;Fecha de matriculación;Visitable;Inscripción registral;Depósito;Código Postal;Situación posesoria;Número de bastidor;Matrícula;Marca;IDUFIR;numBienes;Tramos entre pujas;Provincia;Descripción;Modelo;Referencia catastral;Importe del depósito;Puja mínima;Dirección;Título jurídico;Vivienda habitual;Valor Subasta;Localidad;Información adicional;Cargas;
SUBASTA SUB-JA-2019-121747;Lote 2;;;No consta;;;17100;No consta;;;;17007000611311;1;Sin tramos;Gerona;Según certificación registral adjunta.;;;889,67 €;8.896,65 €;C/ Ramon Serradell // Av. Josep Tarradellas;;No;17.793,30 €;LA BISBAL D'EMPORDÀ;;;
SUBASTA SUB-JA-2019-121747;Lote 3;;;No consta;;;17100;No consta;;;;17007000611328;1;Sin tramos;Gerona;Según certificación registral adjunta.;;;889,67 €;8.896,65 €;C/ Ramon Serradell // Av. Josep Tarradellas;;No;17.793,30 €;LA BISBAL D'EMPORDÀ;;;
SUBASTA SUB-JA-2019-121747;Lote 4;;;No consta;;;17100;No consta;;;;17007000611335;1;Sin tramos;Gerona;Según certificación registral adjunta.;;;889,67 €;8.896,65 €;C/ Ramon Serradell // Av. Josep Tarradellas;;No;17.793,30 €;LA BISBAL D'EMPORDÀ;;;
SUBASTA SUB-JA-2019-121747;Lote 5;;;No consta;;;17100;No consta;;;;17007000611342;1;Sin tramos;Gerona;FINCA REGISTRAL NÚM. 9.292-LA BISBAL D'EMPORDÀ;;;889,67 €;8.896,65 €;C/ Ramon Serradell // Av. Josep Tarradellas;;No;17.793,30 €;LA BISBAL D'EMPORDÀ;;;
SUBASTA SUB-JA-2019-121747;Lote 6;;;No consta;;;17100;No consta;;;;17007000611359;1;Sin tramos;Gerona;Según certificación registral adjunta.;;;889,67 €;8.896,65 €;C/ Ramon Serradell // Av. Josep Tarradellas;;No;17.793,30 €;LA BISBAL D'EMPORDÀ;;;
SUBASTA SUB-JA-2019-121747;Lote 7;;;No consta;;;17100;No consta;;;;17007000611366;1;Sin tramos;Gerona;Según certificación registral adjunta.;;;889,67 €;8.896,65 €;C/ Ramon Serradell // Av. Josep Tarradellas;;No;17.793,30 €;LA BISBAL D'EMPORDÀ;;;
SUBASTA SUB-JA-2019-121747;Lote 8;;;No consta;;;17100;No consta;;;;17007000611373;1;Sin tramos;Gerona;Según certificación registral adjunta.;;;889,67 €;8.896,65 €;C/ Ramon Serradell // Av. Josep Tarradellas;;Sí;17.793,30 €;LA BISBAL D'EMPORDÀ;;;
SUBASTA SUB-JA-2019-121747;Lote 9;;;No consta;;;17100;No consta;;;;17007000611380;1;Sin tramos;Gerona;Según certificación registral adjunta.;;;889,67 €;8.896,65 €;C/ Ramon Serradell // Av. Josep Tarradellas;;No;17.793,30 €;LA BISBAL D'EMPORDÀ;;;
SUBASTA SUB-JA-2019-121747;Lote 10;;;No consta;;;17100;No consta;;;;17007000611632;1;Sin tramos;Gerona;Según certificación registral adjunta.;;;3.849,51 €;38.495,10 €;Av. Josep Tarradellas (local B2-planta 1a-escala B);;No;76.990,20 €;LA BISBAL D'EMPORDÀ;;;
SUBASTA SUB-JA-2018-10714;Lote 1;;;No consta;;;17003;No consta;;;;;;;Gerona;Sita en Girona Avinguda Lluis Pericot núm 64-66;;;;;Avinguda Lluis Pericot núm 64-66;;;;girona;;;
SUBASTA SUB-JA-2019-117776;Lote 1;;;Sí;;;17005;No consta;;;;;1;3.211,44 €;Gerona;REGISTRE DE LA PROPIETAT 4 GIRONA;;;8.028,60 €;Sin puja mínima;C/ JOAN VALENTI, 24, ESC. D, 1-3;;No;160.572,03 €;GIRONA;;;
SUBASTA SUB-JA-2019-117776;Lote 2;;;No consta;;;17410;No consta;;;;;1;3.195,69 €;Gerona;REGISTRO DE LA PROPIEDAD DE SANTA COLOMA DE FARNERS;;;7.989,23 €;Sin puja mínima;C/ ESTE, 1. ESC. A, 1º 3ª ;;No;159.784,68 €;SILS;;;
SUBASTA SUB-JA-2019-117776;Lote 3;;;No consta;;;17411;No consta;;;;;1;4.677,01 €;Gerona;REGISTRO DE LA PROPIEDAD SANTA COLOMA DE FARNERS;;;11.692,54 €;Sin puja mínima;PARCELA 37. URB. PUIGVENTO,;;No;233.850,93 €;VIDRERES;;;
SUBASTA SUB-JA-2019-117776;Lote 4;;;No consta;;;17005;No consta;;;;;1;312,64 €;Gerona;PLAÇA DE PARQUING;;;781,61 €;Sin puja mínima;C/ SANTA EUGENIA, 116-118;;No;15.632,38 €;GIRONA;;;
SUBASTA SUB-JA-2019-11796;Lote 1;;;No consta;REGISTRO DE LA PROPIEDAD DE L'ESCALA, AL TOMO 2647, LIBRO 355, FOLIO 147 ;;17130;No consta (ESCRITURA PÚBLICA FORMALIZADA ANTE NOTARIO);;;;;;;Gerona;FINCA 18470;;0134303EG1603S0001LU;;;c/ Muntanya Rodona, 58 ;;Sí;;L'ESCALA;URBANA parcel·la i casa unifamiliar, situada a l'Escala, Urb. Camp dels             Pilans, c/ Muntanya Rodona, 58 - cantonada c/ Camp dels Pilans, 36;CONSTAN EN CERTIFICACIÓN  DE CARGAS ;
SUBASTA SUB-JA-2019-12144;Lote 1;;;No consta;;;17539;No consta;;;;17005000185412;;;Gerona;PARCELA SOLAR;;7770122DG0977S0001GQ;;;PARCELA NÚM. 2 DEL VIA DE LES ESPIRALTES;;;;BOLVIR;LA SITUACIÓN POSESORIA DEL INMUEBLE SEGUN EL ACTUAL MOMENTO PROCESAL DEL EXPEDIENTE JUDICIAL, RESULTA DESCONOCIDA;;
SUBASTA SUB-JA-2019-121652;Lote 1;35.503,69 €;;No consta;;;08203;No consta;;;;;1;1.000,00 €;Barcelona;FINCA 36994;;5802802DG2050B0005BJ;1.775,18 €;17.751,18 €;SABADELL;;;35.503,69 €;SABADELL;;VEASE CERTIFICACION;
SUBASTA SUB-JA-2019-121652;Lote 2;15.252,89 €;;No consta;;;17252;No consta;;;;;1;1.000,00 €;Gerona;1/4 PARTE FINCA 11856 DEL REGISTRO DE LA PROPIEDAD DE SANT FELIU DE GUÍXOLS;;5588101EG0258H0016EU;762,64 €;7.626,45 €;PARAJE PALANCA O ESTANY;;;15.252,89 €;CASTELL PLATJA D'ARO;;VEASE CERTIFICACION;
SUBASTA SUB-JA-2019-12166;Lote 1;;;No consta;;;17246;No consta;;;;17017000337623;;;Gerona;consta en el edicto y en la certificación;;;;;parcela cero vuit illa ;;;;SANTA CRISTINA DE ARO;;en la certificación ;
SUBASTA SUB-JA-2019-12168;Lote 1;;;No consta;;;17251;No consta;;;;17015000117733;;;Gerona;PIEZA DE TIERRA, DE CABIDA DE 1314,4 M2, EN LA QUE RADICA UNA CASA SIN NUMERAR DE CUATRO CUERPOS  Y UN PISO, CON POZO Y ALGIBE;;6543601EG0364S0001BZ;;;C/ JOSE VILASECA 51;;No;;CALONGE;;;
SUBASTA SUB-JA-2019-12172;Lote 1;;;No consta;;;17412;No consta;;;;;;;Gerona;SEGUN PDF;;5346213DG7254N0001AY;;;Calle Empordà, nº 108;;Sí;;MAÇANET DE LA SELVA;;;
